transaction_id,customer_id,product_id,category,quantity,price,total_spent,timestamp
T000001,C00655,P00218,Bakery,6,186.21,1117.26,2024-03-31T03:19:21
T000002,C00257,P00498,Beverages,4,122.75,491.0,2024-09-09T22:48:23
T000003,C00418,P00213,Fruits,6,59.35,356.1,2024-01-31T06:16:03
T000004,C00030,P00108,Snacks,8,62.24,497.92,2024-04-25T04:00:59
T000005,C00349,P00192,Dairy,9,25.17,226.53,2024-04-28T19:27:10
T000006,C00553,P00298,Beverages,10,154.25,1542.5,2024-08-02T10:30:47
T000007,C00573,P00429,Dairy,5,56.5,282.5,2024-02-29T17:26:01
T000008,C00965,P00239,Fruits,5,115.07,575.35,2024-04-28T15:51:28
T000009,C00397,P00073,Bakery,6,167.56,1005.36,2024-02-12T19:00:41
T000010,C00870,P00269,Beverages,1,25.04,25.04,2024-06-22T21:39:44
T000011,C00766,P00144,Beverages,2,129.78,259.56,2024-06-10T09:02:04
T000012,C00427,P00030,Beverages,2,76.53,153.06,2024-09-17T12:36:54
T000013,C00573,P00280,Bakery,6,96.95,581.7,2024-05-10T15:00:11
T000014,C00940,P00452,Bakery,8,58.58,468.64,2024-04-25T18:02:12
T000015,C00725,P00467,Bakery,5,198.49,992.45,2024-03-23T05:14:53
T000016,C00871,P00166,Fruits,5,135.7,678.5,2024-09-29T20:51:35
T000017,C00786,P00273,Bakery,9,175.51,1579.59,2024-07-19T19:41:35
T000018,C00833,P00305,Dairy,5,41.9,209.5,2024-02-02T15:56:28
T000019,C00615,P00102,Vegetables,1,103.08,103.08,2024-07-21T07:12:50
T000020,C00932,P00079,Dairy,2,105.75,211.5,2024-09-30T11:40:40
T000021,C00112,P00262,Beverages,7,136.28,953.96,2024-05-26T21:33:11
T000022,C00303,P00107,Snacks,10,10.82,108.2,2024-10-08T17:53:48
T000023,C00408,P00183,Beverages,10,87.46,874.6,2024-05-04T12:22:54
T000024,C00377,P00248,Bakery,3,55.6,166.8,2024-07-21T06:34:02
T000025,C00895,P00226,Bakery,1,171.33,171.33,2024-07-14T14:55:35
T000026,C00714,P00255,Beverages,10,20.34,203.4,2024-06-10T11:15:42
T000027,C00149,P00074,Snacks,5,26.42,132.1,2024-10-05T04:45:11
T000028,C00083,P00356,Vegetables,5,63.02,315.1,2024-05-09T06:39:20
T000029,C00027,P00346,Fruits,10,128.63,1286.3,2024-01-19T08:06:55
T000030,C00924,P00279,Vegetables,10,158.27,1582.7,2024-10-30T10:14:12
T000031,C00421,P00119,Vegetables,9,44.43,399.87,2024-09-09T19:04:54
T000032,C00182,P00175,Beverages,5,47.86,239.3,2024-05-30T09:52:23
T000033,C00276,P00255,Vegetables,2,20.34,40.68,2024-03-26T15:14:49
T000034,C00861,P00378,Snacks,10,72.49,724.9,2024-04-16T13:39:57
T000035,C00793,P00287,Fruits,2,79.15,158.3,2024-10-16T18:20:39
